Inspection Type,Registration ID,Firm Names,Inspection Year,Country,Global Network,Inspection Report Date,Inspection Report Section,Finding Count,Auditing Standard,Description In The Firm's Inspection Report
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,6,AS 2401,"In one of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not have an appropriate rationale for limiting its testing of entries to certain of the issuer's entities. In this instance  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,7,AS 2401,"In two of three audits reviewed  the firm  when testing journal entries for possible material misstatement due to fraud  did not appropriately consider the characteristics of potentially fraudulent journal entries in determining the criteria it used to identify and select journal entries for testing. In these instances  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,8,AS 2401,"In one of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not have an appropriate rationale for limiting its testing of entries it identified as having certain fraud characteristics to certain entries. In this instance  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,9,AS 3101,"In one audit  the firm's audit report omitted one of the issuer's financial statements. In this instance  the firm was non-compliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion. (A revised audit report  which was included in a subsequent issuer filing with the SEC  expressed an opinion on the omitted financial statement)."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,10,AS 3101,"In one audit  the firm's audit report incorrectly identified one of the issuer's financial statements. In this instance  the firm was non-compliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,11,AS 3101,"In the three audits reviewed  the engagement team performed procedures to determine whether or not matters were critical audit matters but  in performing those procedures  did not include certain matters that were communicated to the audit committee and that related to accounts or disclosures that were material to the financial statements. In addition  in all of these audits  the engagement team did not take into account certain required factors in determining whether or not certain matters were critical audit matters. In these instances  the firm was noncompliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion. These instances of non-compliance do not necessarily mean that other critical audit matters should have been communicated in the auditor's report."
Triennially Inspected,5341,"Manohar Chowdhry & Associates",2025,India,,08-Dec-2025,Part I.B,12,PCAOB Rule 3211,"In one audit  the firm did not file its report on Form AP by the relevant deadline. In this instance  the firm was non-compliant with PCAOB Rule 3211  Auditor Reporting of Certain Audit Participants."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,1,AS 1105,"In two of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not perform procedures to determine whether the journal entry population from which it made its selections was complete. In these instances  the firm was non-compliant with AS 1105  Audit Evidence."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,2,AS 1215,"In two of three audits reviewed  the firm added audit documentation subsequent to the 45-day period following the report release date and did not indicate the name of the person who prepared the additional documentation and/or the reason for adding it. In these instances  the firm was non-compliant with AS 1215  Audit Documentation."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,3,AS 1220,"In one of three audits reviewed  the individual who performed the engagement quality review was an employee of the firm who was not a partner or an individual in an equivalent position. In these instances  the firm was non-compliant with AS 1220  Engagement Quality Review."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,3,AS 1220,"In three other audits  the individual who performed the engagement quality review was an employee of the firm who was not a partner or an individual in an equivalent position. In these instances  the firm was non-compliant with AS 1220  Engagement Quality Review."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,4,AS 1220,"In two of three audits reviewed  the work papers did not contain sufficient information to enable an experienced auditor  having no previous connection with the engagement  to understand all of the procedures performed by the engagement quality reviewer  including the procedures that the engagement quality reviewer performed to evaluate the engagement team's responses to the significant risks identified. In these instances  the documentation of the engagement quality review was non-compliant with AS 1220  Engagement Quality Review."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,5,AS 1301,"In the three audits reviewed  the firm did not make a required communication to the audit committee related to an overview of the overall audit strategy. In another of these audits  the firm communicated to the audit committee that it did not identify any uncorrected misstatements when the firm had identified uncorrected misstatements. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,5,AS 1301,"In the three audits reviewed  the firm did not make a required communication to the audit committee related to an overview of the overall audit strategy. In one of these audits  the firm did not make certain required communications to the audit committee related to (1) the significant risks it identified through its risk assessment procedures and (2) the results of the audit. In another of these audits  the firm communicated to the audit committee that it did not identify any uncorrected misstatements when the firm had identified uncorrected misstatements. In the third of these audits  the firm did not make a required communication to the audit committee related to the firm's evaluation of the issuer's ability to continue as a going concern. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,5,AS 1301,"In the three audits reviewed  the firm did not make a required communication to the audit committee related to an overview of the overall audit strategy. In one of these audits  the firm did not make certain required communications to the audit committee related to (1) the significant risks it identified through its risk assessment procedures and (2) the results of the audit. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,6,AS 1301,"In two of three audits reviewed  the firm did not communicate to the audit committee all of the significant risks identified through its risk assessment procedures. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,7,AS 1301,"In one of three audits reviewed  the firm did not communicate to the audit committee other material written communications with management  including providing a copy of the management representation letter to the audit committee. In the two other audits reviewed  the firm did not provide a copy of the management representation letter to the audit committee. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees  and AS 2805  Management Representations."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,7,AS 2805,"In one of three audits reviewed  the firm did not communicate to the audit committee other material written communications with management  including providing a copy of the management representation letter to the audit committee. In the two other audits reviewed  the firm did not provide a copy of the management representation letter to the audit committee. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees  and AS 2805  Management Representations."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,8,AS 1305,"In the three audits reviewed  the firm did not provide to management and the audit committee the required communications in writing of all significant deficiencies or material weaknesses identified during the audit. In these instances  the firm was non-compliant with AS 1305  Communications About Control Deficiencies in an Audit of Financial Statements."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,9,AS 2110,"In one of three audits reviewed  the firm did not identify and assess the risks of material misstatement related to certain significant accounts and disclosures. In this instance  the firm was non-compliant with AS 2110  Identifying and Assessing Risks of Material Misstatement."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,10,AS 2410,"In two of three audits reviewed  the firm did not make certain required communications to the audit committee related to its evaluation of the issuer's identification of  accounting for  and disclosure of its relationships and transactions with related parties. In these instances  the firm was non-compliant with AS 2410  Related Parties."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,11,AS 2610,"In one of three audits reviewed  the firm did not perform inquiries of the predecessor auditor in determining whether to accept the engagement. In this instance  the firm was non-compliant with AS 2610  Initial Audits – Communications Between Predecessor and Successor Auditors."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,12,AS 2810,"In one of three audits reviewed  the firm did not communicate accumulated misstatements to management on a timely basis to provide management with an opportunity to correct them. In this instance  the firm was non-compliant with AS 2810  Evaluating Audit Results."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,13,AS 3101,"In the three audits reviewed  the engagement team performed procedures to determine whether or not matters were critical audit matters but  in performing those procedures  did not include certain matters that were communicated  or required to be communicated  to the audit committee and that related to accounts or disclosures that were material to the financial statements. In these instances  the firm was non-compliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion. These instances of non-compliance do not necessarily mean that other critical audit matters should have been communicated in the auditor's report."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,14,PCAOB Rule 3211,"In one of three audits reviewed  the firm did not file its report on Form AP by the relevant deadline. In this instance  the firm was non-compliant with PCAOB Rule 3211  Auditor Reporting of Certain Audit Participants."
Triennially Inspected,6797,"Bush & Associates CPA LLC",2025,United States,,08-Dec-2025,Part I.B,15,PCAOB Rule 3211,"In one of three audits reviewed  the firm's report on Form AP included inaccurate information regarding the Partner ID. In this instance  the firm was non-compliant with PCAOB Rule 3211  Auditor Reporting of Certain Audit Participants."
Triennially Inspected,6816,"Elkana Amitai CPA",2024,Israel,,08-Dec-2025,Part I.B,1,AS 1215,"In one of three audits reviewed  the firm provided certain services to the issuer but did not document that the audit committee had approved the engagement before the issuer engaged the firm to provide the services. In this instance  the firm was non-compliant with AS 1215  Audit Documentation."
Triennially Inspected,6816,"Elkana Amitai CPA",2024,Israel,,08-Dec-2025,Part I.B,2,AS 1301,"In the three audits reviewed  the firm did not (1) communicate to the audit committee all of the significant risks identified through its risk assessment procedures and (2) provide a copy of the management representation letter to the audit committee beyond  for one audit  the one member of the audit committee who signed the management representation letter. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees  and AS 2805  Management Representations."
Triennially Inspected,6816,"Elkana Amitai CPA",2024,Israel,,08-Dec-2025,Part I.B,2,AS 2805,"In the three audits reviewed  the firm did not (1) communicate to the audit committee all of the significant risks identified through its risk assessment procedures and (2) provide a copy of the management representation letter to the audit committee beyond  for one audit  the one member of the audit committee who signed the management representation letter. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees  and AS 2805  Management Representations."
Triennially Inspected,6816,"Elkana Amitai CPA",2024,Israel,,08-Dec-2025,Part I.B,3,AS 2110,"In two of three audits reviewed  the firm did not make all required inquiries of management about fraud risks. In these instances  the firm was non-compliant with AS 2110  Identifying and Assessing Risks of Material Misstatement."
Triennially Inspected,6816,"Elkana Amitai CPA",2024,Israel,,08-Dec-2025,Part I.B,4,AS 3101,"In one of two audits reviewed  the firm's communication of critical audit matters in the audit report did not describe for a matter the principal considerations that led the firm to determine that the matter was a critical audit matter. In this instance  the firm was non-compliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion."
Triennially Inspected,6816,"Elkana Amitai CPA",2024,Israel,,08-Dec-2025,Part I.B,5,PCAOB Rule 3211,"In the three audits reviewed  the firm's report on Form AP included inaccurate information related to the participation in the audit by one or more other accounting firms. In these instances  the firm was non-compliant with PCAOB Rule 3211  Auditor Reporting of Certain Audit Participants."
Triennially Inspected,6816,"Elkana Amitai CPA",2024,Israel,,08-Dec-2025,Part I.B,6,PCAOB Rule 3526,"In one of three audits reviewed  the firm did not affirm to the audit committee  in writing  that  as of the date of the communication  the firm was independent in compliance with PCAOB Rule 3520. In this instance  the firm was non-compliant with PCAOB Rule 3526  Communication with Audit Committees Concerning Independence."
Triennially Inspected,29,"Sassetti LLC",2025,United States,,20-Nov-2025,Part I.B,1,AS 1301,"In one of three audits reviewed  the firm did not communicate to the audit committee all of the significant risks identified through its risk assessment procedures. In this instance  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,29,"Sassetti LLC",2025,United States,,20-Nov-2025,Part I.B,2,AS 1301,"In the three audits reviewed  the firm did not provide a copy of the management representation letter to the audit committee. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees  and AS 2805  Management Representations."
Triennially Inspected,29,"Sassetti LLC",2025,United States,,20-Nov-2025,Part I.B,2,AS 2805,"In the three audits reviewed  the firm did not provide a copy of the management representation letter to the audit committee. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees  and AS 2805  Management Representations."
Triennially Inspected,29,"Sassetti LLC",2025,United States,,20-Nov-2025,Part I.B,3,AS 1301,"In the three audits reviewed  the firm did not provide the audit committee a draft of the firm's audit report. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,29,"Sassetti LLC",2025,United States,,20-Nov-2025,Part I.B,4,AS 2401,"In one of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not appropriately consider the characteristics of potentially fraudulent journal entries when identifying and selecting entries for testing. In this instance  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,29,"Sassetti LLC",2025,United States,,20-Nov-2025,Part I.B,5,AS 2401,"In one of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not have an appropriate rationale for limiting its testing of entries it identified as having certain fraud risk characteristics to certain entries. In this instance  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,29,"Sassetti LLC",2025,United States,,20-Nov-2025,Part I.B,6,AS 3101,"In one of two audits reviewed  the engagement team performed procedures to determine whether or not matters were critical audit matters but  in performing those procedures  did not include certain matters that were communicated to the audit committee and that related to accounts or disclosures that were material to the financial statements. In this instance  the firm was non-compliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion. This instance of non-compliance does not necessarily mean that other critical audit matters should have been communicated in the auditor's report."
Triennially Inspected,314,"Meaden & Moore, Ltd.",2025,United States,,20-Nov-2025,Part I.B,1,AS 1105,"In one of two audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not perform sufficient procedures to determine whether the journal entry population from which it made its selections was complete. In this instance  the firm was non-compliant with AS 1105  Audit Evidence."
Triennially Inspected,314,"Meaden & Moore, Ltd.",2025,United States,,20-Nov-2025,Part I.B,2,PCAOB Rule 3211,"In one audit  the firm did not file its report on Form AP by the relevant deadline. In this instance  the firm was non-compliant with PCAOB Rule 3211  Auditor Reporting of Certain Audit Participants."
Triennially Inspected,400,"Hacker, Johnson & Smith PA",2025,United States,,20-Nov-2025,Part I.B,1,AS 2110,"In one of two audits reviewed  the firm did not identify and assess the risks of material misstatement related to a significant account and disclosure. In this instance  the firm was non-compliant with AS 2110  Identifying and Assessing Risks of Material Misstatement."
Triennially Inspected,400,"Hacker, Johnson & Smith PA",2025,United States,,20-Nov-2025,Part I.B,2,AS 3101,"In one of two audits reviewed  the engagement team performed procedures to determine whether or not matters were critical audit matters but  in performing those procedures  did not include certain matters that were communicated to the audit committee and that related to accounts or disclosures that were material to the financial statements. In this instance  the firm was non-compliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion. This instance of non-compliance does not necessarily mean that other critical audit matters should have been communicated in the auditor's report."
Triennially Inspected,400,"Hacker, Johnson & Smith PA",2025,United States,,20-Nov-2025,Part I.B,3,AS 3101,"In one audit  the engagement team did not perform any procedures to comply with the requirements related to critical audit matters. In this instance  the firm was non-compliant with AS 3101  The Auditor's Report on an Audit of Financial Statements When the Auditor Expresses an Unqualified Opinion. This instance of non-compliance does not necessarily mean that critical audit matters should have been communicated in the auditor's report."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,1,AS 1215,"In one of three audits reviewed  the firm did not assemble a complete and final set of audit documentation for retention by the required documentation completion date. In this instance  the firm was non-compliant with AS 1215  Audit Documentation."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,2,AS 1220,"In one of three audits reviewed  the firm did not obtain the engagement quality reviewer's concurring approval of issuance of the audit report prior to its issuance. In this instance  the firm was non-compliant with AS 1220  Engagement Quality Review."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,3,AS 1220,"In two of three audits reviewed  the work papers did not contain sufficient information to enable an experienced auditor  having no previous connection with the engagement  to understand all of the procedures performed by the engagement quality reviewer  including the procedures that the engagement quality reviewer performed to evaluate the engagement team's responses to the significant risks identified. In these instances  the documentation of the engagement quality review was non-compliant with AS 1220  Engagement Quality Review."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,4,AS 1301,"In one of three audits reviewed  the firm did not make certain required communications to the audit committee related to (1) significant accounting policies and practices and (2) the critical accounting policies and practices. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,5,AS 1301,"In two of three audits reviewed  the firm did not make a required communication to the audit committee related to critical accounting estimates. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,6,AS 1301,"In two of three audits reviewed  the firm did not make a required communication to the audit committee related to the results of the audit prior to the issuance of the auditor's report. In these instances  the firm was non-compliant with AS 1301  Communications with Audit Committees."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,7,AS 1305,"In one of three audits reviewed  the firm did not evaluate whether certain control deficiencies individually  or in combination  represented a material weakness that required communication to management and the audit committee. In this instance  the firm was non-compliant with AS 1305  Communications About Control Deficiencies in an Audit of Financial Statements."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,8,AS 2401,"In one of three audits reviewed  the firm  when testing journal entries for evidence of possible material misstatement due to fraud  did not have an appropriate rationale for limiting its testing of entries it identified as having certain fraud risk characteristics to certain entries. In this instance  the firm was non-compliant with AS 2401  Consideration of Fraud in a Financial Statement Audit."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,9,AS 2810,"In one of three audits reviewed  the firm did not make a required communication to management related to identified misstatements. In this instance  the firm was non-compliant with AS 2810  Evaluating Audit Results."
Triennially Inspected,457,"Haynie & Company",2025,United States,,20-Nov-2025,Part I.B,10,AS 2820,"In one audit  the firm's audit report did not include an explanatory paragraph related to a material change in accounting principle. In this instance  the firm was non-compliant with AS 2820  Evaluating Consistency of Financial Statements."
